License Issue Date,Animal's Name,License Number,Primary Breed,Secondary Breed,Species,ZIP Code
2018-03-10,Mulder,104297,Domestic Shorthair,Mix,Cat,98144
2018-03-10,Scully,104298,Domestic Shorthair,Mix,Cat,98144
2018-03-10,Phoebe,128111,Siamese,Desert Lynx,Cat,98125
2018-03-10,Mitchell,140093,Domestic Shorthair,Mix,Cat,98121
2018-03-10,Grendel,110035,Chow Chow,"Retriever, Labrador",Dog,
2018-03-10,Bugs,128110,"Spaniel, American Cocker",,Dog,98125
2018-03-10,Eddie,140091,Beagle,,Dog,98108
2018-03-10,Osbert,140092,Maltese,Mix,Dog,98122
2018-03-10,Carly Rose,84139,"Retriever, Labrador",,Dog,98117
2018-03-10,Cricket,112062,"Poodle, Miniature","Spaniel, American Cocker",Dog,98126
2018-03-10,Caledonia,102232,Bernese Mountain Dog,,Dog,98116
2018-03-10,Ziggie,15970,Miniature Pinscher,,Dog,98106
2018-03-10,Nala,902201,Kai Ken,,Dog,98103
2018-03-09,Smithy,85237,Domestic Shorthair,,Cat,98144
2018-03-09,Wes,29170,Domestic Shorthair,,Cat,98144
2018-03-09,Cowboy,74342,Domestic Shorthair,,Cat,98103
2018-03-09,Pickles,74348,Domestic Shorthair,,Cat,98103
2018-03-09,Ghost,964212,Domestic Shorthair,,Cat,98125
2018-03-09,Patinkin,964218,Domestic Shorthair,,Cat,98125
2018-03-09,Fizz,107907,Domestic Longhair,,Cat,98133
2018-03-09,Din Din,140918,Australian Shepherd,,Dog,98119
2018-03-09,Diego,140917,Maltese,"Poodle, Miniature",Dog,98119
2018-03-09,Pad Thai,140697,Alaskan Klee Kai,,Dog,98102
2018-03-09,Marley,140916,"Terrier, Soft Coated Wheaten","Poodle, Standard",Dog,
2018-03-09,Nordic IV,,"Retriever, Golden","Retriever, Labrador",Dog,98122
2018-03-09,Leo,,"Retriever, Labrador",Great Dane,Dog,98107
2018-03-09,Kooper,,Mix,,Dog,98106
2018-03-09,Cole,84006,Coonhound,Mix,Dog,98117
2018-03-09,Dee Dee,71472,Boxer,,Dog,98146
2018-03-09,Hoover,140698,"Terrier, Airedale",Mix,Dog,98199
2018-03-09,Kathy,140699,Miniature Pinscher,"Terrier, Manchester",Dog,98101
2018-03-09,Ella,110448,"Poodle, Miniature",,Dog,98118
2018-03-09,Dune,,Rhodesian Ridgeback,,Dog,98199
2018-03-09,Peyton,,Beagle,Boxer,Dog,98117
2018-03-09,Lucy,111355,Beagle,Boxer,Dog,98118
2018-03-09,Nelly,,"Retriever, Labrador",,Dog,98199
2018-03-09,Wombat,100477,"Terrier, Staffordshire Bull",,Dog,98126
2018-03-09,Ruby Rose,,"Terrier, English Staffordshire",,Dog,98126
2018-03-09,Sophie,,Chow Chow,"Retriever, Labrador",Dog,98109
2018-03-09,Zoe,,German Shepherd,,Dog,98105
2018-03-09,Chloe,,Havanese,,Dog,98133
2018-03-08,Henri,77719,Domestic Shorthair,,Cat,98117
2018-03-08,Rusty,74155,Domestic Shorthair,,Cat,98115
2018-03-08,Alley Kat,107891,American Shorthair,Mix,Cat,98103
2018-03-08,Aubrie,28133,Domestic Shorthair,,Cat,98125
2018-03-08,Samantha,140694,Domestic Shorthair,Mix,Cat,98103
2018-03-08,Coco,72440,Domestic Shorthair,,Cat,98105
2018-03-08,Tazo,140236,Domestic Shorthair,,Cat,98136
2018-03-08,Scrambles,102750,American Shorthair,,Cat,98199
2018-03-08,Boris,,Domestic Shorthair,,Cat,98125
2018-03-08,Nova,,Domestic Shorthair,,Cat,98125
2018-03-08,Moshi,,Domestic Shorthair,,Cat,98115
2018-03-08,Choco,64069,LaPerm,,Cat,98125
2018-03-08,Koda,,Domestic Shorthair,,Cat,98125
2018-03-08,Snickers,79111,"Retriever, Golden","Poodle, Standard",Dog,98103
2018-03-08,Papi,110973,"Chihuahua, Short Coat",Pug,Dog,98104
2018-03-08,Riley,118182,Bichon Frise,"Poodle, Miniature",Dog,98136
2018-03-08,Pepper,110852,Italian Greyhound,"Chihuahua, Short Coat",Dog,98121
2018-03-08,Figaro,111317,"Bulldog, American",Boxer,Dog,98103
2018-03-08,Rocky,576065,"Terrier, American Pit Bull",,Dog,98115
2018-03-08,Icy,575418,American Eskimo,,Dog,98106
2018-03-08,,140693,Pomeranian,Mix,Dog,
2018-03-08,Scruffy,26689,"Terrier, Jack Russell",,Dog,98126
2018-03-08,Copper,129013,Retriever,"Retriever, Labrador",Dog,98109
2018-03-08,Primo,,Border Collie,Mix,Dog,98117
2018-03-08,Henry,,"Dachshund, Miniature Smooth Haired",,Dog,98122
2018-03-08,Apollo,,Shiba Inu,,Dog,98116
2018-03-08,Tex,82706,Australian Cattle Dog,Terrier,Dog,98103
2018-03-08,Queso,110493,"Terrier, Rat",,Dog,98117
2018-03-08,Rex,86295,"Schnauzer, Miniature",,Dog,98119
2018-03-08,Loki,112032,"Retriever, Golden",,Dog,98107
2018-03-08,Deke,82015,"Retriever, Labrador","Poodle, Standard",Dog,98103
2018-03-08,Sonny,,Chow Chow,Australian Cattle Dog,Dog,98103
2018-03-08,Harley,,"Chihuahua, Short Coat",,Dog,98109
2018-03-08,Olive,140914,"Retriever, Labrador","Poodle, Standard",Dog,98125
2018-03-08,Ari,140915,"Chihuahua, Long Coat",Mix,Dog,98101
2018-03-08,Cookie Monster,140913,Shepherd,Mix,Dog,98106
2018-03-08,Olivia,110036,"Retriever, Labrador",,Dog,98125
2018-03-08,Cleo,76115,"Retriever, Labrador",,Dog,98117
2018-03-08,Molly,112051,"Retriever, Labrador","Pointer, German Shorthaired",Dog,98106
2018-03-08,Ginger,110648,Australian Cattle Dog,Mix,Dog,98144
2018-03-08,Lola,903553,German Shepherd,,Dog,98101
2018-03-08,Baby Girl,110972,"Chihuahua, Short Coat",,Dog,98104
2018-03-08,Eloise,111318,Boxer,,Dog,98103
2018-03-08,Rosie,28517,"Terrier, Yorkshire",,Dog,98125
2018-03-08,Lily,,"Dachshund, Miniature Smooth Haired",,Dog,98122
2018-03-08,Ginger,75889,Australian Kelpie,,Dog,98136
2018-03-08,Gypsy,129094,"Retriever, Labrador",,Dog,98103
2018-03-08,Baxter,835282,"Terrier, American Pit Bull",Mix,Dog,98125
2018-03-08,Gypsy Rose,139655,"Setter, Irish",,Dog,98136
2018-03-08,Luna,139932,"Poodle, Miniature",,Dog,98103
2018-03-08,Dottie Mae,122266,"Retriever, Labrador",,Dog,98105
2018-03-08,Aspen,,"Terrier, American Pit Bull",,Dog,98103
2018-03-08,Rocky,,Australian Cattle Dog,,Dog,98144
2018-03-08,Ginger,,"Dachshund, Miniature Smooth Haired",,Dog,98136
2018-03-07,Nova,140909,Domestic Shorthair,Mix,Cat,98199
2018-03-07,Moma,140910,Domestic Shorthair,Mix,Cat,98103
2018-03-07,Fluffy,140911,Domestic Shorthair,Mix,Cat,98103
2018-03-07,Libby,140082,Domestic Shorthair,Mix,Cat,98133
2018-03-07,Nutmeg,140084,Domestic Medium Hair,Mix,Cat,98105
2018-03-07,Shark,140912,Domestic Shorthair,Mix,Cat,98106
2018-03-07,Tito,141299,Domestic Shorthair,,Cat,98104
2018-03-07,Whitney Houston,141212,Domestic Longhair,,Cat,98177
2018-03-07,Simon,111605,Domestic Shorthair,,Cat,98117
2018-03-07,Piglet,141234,Domestic Shorthair,,Cat,98115
2018-03-07,Cayenne,124382,Siamese,,Cat,98105
2018-03-07,IceMan,127941,Domestic Shorthair,,Cat,98105
2018-03-07,,141210,Domestic Shorthair,Mix,Cat,98125
2018-03-07,,22694,Domestic Medium Hair,,Cat,98112
2018-03-07,Tiana,141253,Domestic Shorthair,,Cat,98199
2018-03-07,Chico,75419,"Schnauzer, Miniature",,Dog,98118
2018-03-07,Rico,80503,"Terrier, Cairn",Mix,Dog,98119
2018-03-07,Cooper,140085,"Retriever, Labrador",,Dog,98119
2018-03-07,JR,140086,Beagle,,Dog,98121
2018-03-07,Baby Boy,140087,"Chihuahua, Short Coat",Miniature Pinscher,Dog,98121
2018-03-07,Coco,215014,"Chihuahua, Short Coat",,Dog,98109
2018-03-07,Bailey,80624,"Spaniel, Cavalier King Charles",,Dog,98125
2018-03-07,Baker,141263,Beagle,Mix,Dog,98117
2018-03-07,Tgriff's Athos,112492,"Griffon, Brussels",,Dog,98107
2018-03-07,Bailey,141219,"Retriever, Golden",,Dog,98109
2018-03-07,Macallan,141220,Great Pyrenees,,Dog,98109
2018-03-07,JP Patches,141307,"Setter, English",,Dog,98103
2018-03-07,Marco,141274,Boxer,"Terrier, English Staffordshire",Dog,98118
2018-03-07,Noodle,141230,"Welsh Corgi, Pembroke",,Dog,98107
2018-03-07,Rusty,141213,Mix,,Dog,98125
2018-03-07,Sawyer,141227,"Poodle, Standard",,Dog,98112
2018-03-07,Odin,141226,Mix,Shepherd,Dog,98109
2018-03-07,George,141278,Pug,,Dog,98102
2018-03-07,Odi,141205,Plott Hound,"Retriever, Labrador",Dog,98133
2018-03-07,Nikko,105089,Shiba Inu,Mix,Dog,98115
2018-03-07,Mikah,212777,Australian Shepherd,Great Pyrenees,Dog,98106
2018-03-07,Sabu,119986,Catahoula Leopard dog,Australian Cattle Dog,Dog,98106
2018-03-07,Zach,141309,Shih Tzu,,Dog,98122
2018-03-07,Rooney,80644,Beagle,,Dog,98118
2018-03-07,Dolly,140083,Shih Tzu,,Dog,98106
2018-03-07,Chica,140088,"Chihuahua, Short Coat",,Dog,98121
2018-03-07,Mollie,140089,"Retriever, Labrador",Mix,Dog,98126
2018-03-07,Lúa,120435,"Poodle, Standard","Retriever, Golden",Dog,98102
2018-03-07,Pekoe,946038,"Poodle, Miniature",,Dog,98112
2018-03-07,Lucille,83704,Bulldog,,Dog,98102
2018-03-07,Tori,141250,German Shepherd,,Dog,98108
2018-03-07,Isis Pratt,141306,Mix,,Dog,98117
2018-03-07,Moon Pie,141275,Boxer,,Dog,98118
2018-03-07,Nala,141257,"Retriever, Labrador",Hound,Dog,98105
2018-03-07,Finnley,961529,Shetland Sheepdog,,Dog,98121
2018-03-07,Sophia,141300,"Chihuahua, Short Coat",,Dog,98104
2018-03-07,Lucy,141289,Boxer,,Dog,98115
2018-03-07,Bear,141297,"Retriever, Golden",Bernese Mountain Dog,Dog,98103
2018-03-07,Chloe,25997,Spaniel,"Dachshund, Standard Smooth Haired",Dog,98112
2018-03-06,Sasquatch,141310,Domestic Shorthair,,Cat,98103
2018-03-06,Lucy,69141,Domestic Shorthair,,Cat,98104
2018-03-06,Tamale,74258,Domestic Medium Hair,,Cat,98121
2018-03-06,Precious,141216,American Shorthair,,Cat,98133
2018-03-06,Midnight,141203,Domestic Shorthair,,Cat,98119
2018-03-06,Emily,109815,Domestic Longhair,,Cat,98117
2018-03-06,Bandit,141281,Domestic Shorthair,,Cat,98115
2018-03-06,Remus,111434,Mix,,Cat,98126
2018-03-06,Romulus,111435,Mix,,Cat,98126
2018-03-06,Dusty,127093,Domestic Shorthair,,Cat,98105
2018-03-06,Artemis,108294,Domestic Medium Hair,Mix,Cat,98115
2018-03-06,Martha Washington,141243,Domestic Shorthair,,Cat,98102
2018-03-06,Kayla,953839,American Shorthair,,Cat,98199
2018-03-06,Cosmo,141277,Domestic Shorthair,,Cat,98105
2018-03-06,Luna,141276,Domestic Shorthair,,Cat,98105
2018-03-06,Callie,124997,Domestic Shorthair,Mix,Cat,98112
2018-03-06,Tofer,953174,Domestic Shorthair,,Cat,98112
2018-03-06,Henry,74335,Domestic Shorthair,,Cat,98117
2018-03-06,Squeek,74336,Domestic Shorthair,,Cat,98117
2018-03-06,Dude,141245,Domestic Shorthair,,Cat,98109
2018-03-06,Joe,140906,Terrier,Mix,Dog,98105
2018-03-06,Ace,140907,"Dachshund, Miniature Long Haired",Mix,Dog,98199
2018-03-06,Sandy,141264,"Retriever, Golden",,Dog,98115
2018-03-06,Bowie,141283,"Retriever, Labrador",,Dog,98107
2018-03-06,Mosses,141282,"Bulldog, American",,Dog,98118
2018-03-06,Arshile,141254,"Pointer, German Shorthaired",,Dog,98144
2018-03-06,Mochi,141292,Samoyed,,Dog,98118
2018-03-06,Ziggy,141256,Boxer,,Dog,98144
2018-03-06,Franklin,960879,"Terrier, Border",,Dog,98115
2018-03-06,Kuma,141231,Shiba Inu,,Dog,98115
2018-03-06,Cooper,141267,Australian Shepherd,Border Collie,Dog,98105
2018-03-06,Roscoe,141268,Australian Shepherd,Border Collie,Dog,98105
2018-03-06,Shadow,141241,Australian Cattle Dog,Mix,Dog,98121
2018-03-06,Pow,82730,"Retriever, Labrador",,Dog,98116
2018-03-06,Winston,960474,"Poodle, Miniature",,Dog,98105
2018-03-06,Ernie,126186,"Terrier, Yorkshire","Poodle, Miniature",Dog,98117
2018-03-06,Rowan,111496,"Dachshund, Standard Wire Haired",,Dog,98109
2018-03-06,Bean,26000,Havanese,,Dog,98112
2018-03-06,Leo,108293,"Terrier, American Pit Bull",Mix,Dog,98115
2018-03-06,Chance,141209,Boxer,Mix,Dog,98146
2018-03-06,Bruno,141302,"Spaniel, American Cocker",,Dog,98115
2018-03-06,Jet Pack,112035,American Indian Dog,,Dog,98115
2018-03-06,Tozer,111703,Miniature Pinscher,"Dachshund, Miniature Long Haired",Dog,98146
2018-03-06,Chevy,110372,Basset Hound,,Dog,98133
2018-03-06,Baily,141262,"Welsh Corgi, Pembroke",,Dog,98136
2018-03-06,Walter,141261,"Terrier, Jack Russell","Dachshund, Standard Smooth Haired",Dog,98106
2018-03-06,Reggie,141270,German Shepherd,,Dog,98108
2018-03-06,Pepper,81491,"Schnauzer, Miniature","Terrier, Yorkshire",Dog,98107
2018-03-06,Greggor,141208,Boxer,Mastiff,Dog,98103
2018-03-06,Oyster,141239,"Chihuahua, Long Coat","Spaniel, American Cocker",Dog,98112
2018-03-06,Frank,141293,"Poodle, Standard",,Dog,98115
2018-03-06,Arlo,141284,American Blue Heeler,,Dog,98107
2018-03-06,Jack,82215,"Retriever, Labrador",,Dog,98177
2018-03-06,Cooper,141242,Brittany,,Dog,98112
2018-03-06,Smokes,141211,Australian Cattle Dog,,Dog,98107
2018-03-06,Bodie,83744,Siberian Husky,"Retriever, Labrador",Dog,98144
2018-03-06,Henry,111919,"Dachshund, Standard Smooth Haired",,Dog,98125
2018-03-06,Domino,141201,Maltese,"Dachshund, Miniature Smooth Haired",Dog,98125
2018-03-06,Theo,83689,"Retriever, Labrador",,Dog,98133
2018-03-06,Luigi,141295,"Retriever, Labrador",Border Collie,Dog,98103
2018-03-06,Salvatore,141296,"Retriever, Labrador",Border Collie,Dog,98103
2018-03-06,Little,141308,Mix,,Dog,98106
2018-03-06,Sonny Bull,81602,Bulldog,,Dog,98126
2018-03-06,Bernie,141265,Bichon Frise,"Poodle, Standard",Dog,98118
2018-03-06,Prescott,109529,Chinese Shar-Pei,,Dog,98107
2018-03-06,Lily,140908,"Welsh Corgi, Pembroke",,Dog,98119
2018-03-06,Lula,141204,Hound,Shepherd,Dog,98133
2018-03-06,McFuckyou,141255,"Chihuahua, Long Coat",Australian Shepherd,Dog,98126
2018-03-06,Maggie,77944,"Retriever, Labrador",,Dog,98102
2018-03-06,Zali,128252,Australian Cattle Dog,,Dog,98119
2018-03-06,Lily,141259,"Retriever, Labrador","Terrier, Rat",Dog,98102
2018-03-06,Ganache,126198,Lagotto Romagnolo,,Dog,98115
2018-03-06,Lyra,116152,"Retriever, Labrador",,Dog,98105
2018-03-06,Eloise,27764,"Pointer, German Shorthaired","Retriever, Golden",Dog,98103
2018-03-06,Zoe,27778,Greyhound,,Dog,98103
2018-03-06,Momo,141246,"Retriever, Labrador",,Dog,98199
2018-03-06,Cora,141291,"Vizsla, Smooth Haired",,Dog,98103
2018-03-06,Ramona,141269,"Terrier, Rat","Collie, Smooth",Dog,98116
2018-03-06,Canela,956663,"Terrier, Jack Russell","Chihuahua, Short Coat",Dog,98118
2018-03-06,Habipti,27565,"Terrier, Boston",,Dog,98144
2018-03-06,Harper,141222,"Retriever, Labrador","Poodle, Miniature",Dog,98133
2018-03-06,Jackson,141221,"Retriever, Golden","Poodle, Miniature",Dog,98133
2018-03-06,Tuesday,111704,Shepherd,,Dog,98146
2018-03-06,Penny,141260,"Terrier, Pit Bull",,Dog,98106
2018-03-06,Rosie,141237,"Retriever, Golden",,Dog,98112
2018-03-06,Bailey,129079,"Retriever, Labrador",,Dog,98118
2018-03-06,Kita,141223,Border Collie,,Dog,98125
2018-03-06,Madison,141252,"Retriever, Labrador",Mix,Dog,98116
2018-03-06,Iris,141248,"Poodle, Miniature","Retriever, Labrador",Dog,98115
2018-03-06,Blaze,106893,German Shepherd,,Dog,98105
2018-03-06,Luna,141272,Mix,,Dog,98118
2018-03-06,Mara,141244,"Welsh Corgi, Pembroke",,Dog,98121
2018-03-06,Coco,112401,"Terrier, Yorkshire",,Dog,98126
2018-03-06,Rosie,213619,Xoloitzcuintli,,Dog,98126
2018-03-06,Lady Zuzu,141247,"Chihuahua, Short Coat",Doberman Pinscher,Dog,98144
2018-03-06,Penny,141228,Doberman Pinscher,,Dog,98107
2018-03-05,Weeny,140905,Domestic Shorthair,Mix,Cat,98118
2018-03-05,Merlin,140904,Domestic Shorthair,Mix,Cat,98117
2018-03-05,Evie,74217,Domestic Shorthair,,Cat,98117
2018-03-05,Mushu,141271,Domestic Shorthair,Domestic Shorthair,Cat,98116
2018-03-05,Jake,897430,Domestic Shorthair,,Cat,98104
2018-03-05,Winnie,28239,Domestic Shorthair,,Cat,98177
2018-03-05,Leroy,141273,Mix,,Cat,98116
2018-03-05,Rufus,103084,Mix,,Cat,98116
2018-03-05,Sasha,74049,Domestic Shorthair,,Cat,98103
2018-03-05,Mandy,141217,Mix,,Cat,98133
2018-03-05,Samantha,141218,Mix,,Cat,98133
2018-03-05,Dottie,141215,Domestic Longhair,,Cat,98177
2018-03-05,Georgie,140903,"Terrier, Jack Russell",,Dog,98136
2018-03-05,Suki,80515,"Poodle, Miniature",,Dog,98133
2018-03-05,Sonny,111304,Terrier,Pointer,Dog,98118
2018-03-05,Charlie,141232,"Dachshund, Miniature Smooth Haired","Terrier, Manchester",Dog,98109
2018-03-05,Loki,113255,German Shepherd,,Dog,98101
2018-03-05,Charlie Chaplin,141301,"Australian Shepherd, Miniature",,Dog,98103
2018-03-05,Finley,141305,"Retriever, Golden","Poodle, Standard",Dog,98117
2018-03-05,Jax,27791,Australian Cattle Dog,,Dog,98199
2018-03-05,Sherlock,141290,"Terrier, Australian",,Dog,98117
2018-03-05,Jax,82782,"Retriever, Golden","Poodle, Miniature",Dog,98116
2018-03-05,Henry,81245,Australian Shepherd,,Dog,98116
2018-03-05,Hansel,111737,Mix,,Dog,98144
2018-03-05,Maslow,141303,"Retriever, Labrador","Terrier, American Pit Bull",Dog,98126
2018-03-05,Gavel,141214,"Retriever, Labrador","Retriever, Golden",Dog,98109
2018-03-05,Leo,141235,Pug,,Dog,98144
2018-03-05,Dylan,136556,Bernese Mountain Dog,,Dog,98105
2018-03-05,Hito,141294,"Retriever, Labrador",,Dog,98102
2018-03-05,Orana,140081,Australian Shepherd,Mix,Dog,98103
2018-03-05,Rosabella Dora Jones,141238,Pekingese,"Chihuahua, Short Coat",Dog,98144
2018-03-05,Mabel,141233,"Dachshund, Miniature Smooth Haired",,Dog,98109
2018-03-05,Stella,71457,"Retriever, Labrador",,Dog,98146
2018-03-05,Ellie,130614,"Retriever, Golden",,Dog,98122
2018-03-05,Phoebe,106747,Havanese,Shih Tzu,Dog,98116
2018-03-04,Lewis,109719,Domestic Shorthair,,Cat,98177
2018-03-04,Panther,140079,Domestic Longhair,Mix,Cat,98122
2018-03-04,Carl,140080,Domestic Medium Hair,Mix,Cat,98125
2018-03-04,Rony,83364,Miniature Pinscher,,Dog,98117
2018-03-04,Kenji,282122,"Retriever, Golden","Poodle, Standard",Dog,98103
2018-03-04,Daisy,26155,"Retriever, Labrador",Mix,Dog,98136
2018-03-03,Isabella,22018,Siamese,,Cat,98103
2018-03-03,Winston,954235,Domestic Shorthair,,Cat,98105
2018-03-03,Luna,140381,Domestic Shorthair,,Cat,98177
2018-03-03,Montgomery,140690,Domestic Shorthair,Mix,Cat,98125
2018-03-03,Jack,140382,Domestic Longhair,,Cat,98102
2018-03-03,Ember,68662,Domestic Shorthair,,Cat,98116
2018-03-03,,110717,Domestic Longhair,Mix,Cat,98103
2018-03-03,Muffie,74047,Domestic Shorthair,,Cat,98107
2018-03-03,,110735,Domestic Longhair,Mix,Cat,98112
2018-03-03,Juliette,73705,Domestic Longhair,,Cat,98117
2018-03-03,Jazz,140074,Domestic Shorthair,Mix,Cat,98103
2018-03-03,Isabella,140077,Domestic Shorthair,Mix,Cat,98199
2018-03-03,Gracie,140078,Domestic Medium Hair,Mix,Cat,98112
2018-03-03,Buddy,140691,Siamese,Mix,Cat,98119
2018-03-03,Moose,140692,Domestic Shorthair,Mix,Cat,98102
2018-03-03,Ollie,28610,"Terrier, Jack Russell",Lhasa Apso,Dog,98105
2018-03-03,Jasper,110952,"Retriever, Golden",,Dog,98103
2018-03-03,Remo,140075,"Terrier, American Pit Bull",Mix,Dog,98109
2018-03-03,Taho,140076,Shepherd,Mix,Dog,98108
2018-03-03,Shiva,205719,"Vizsla, Smooth Haired",,Dog,98103
2018-03-03,Freya,110951,"Retriever, Golden",,Dog,98103
2018-03-03,Violet,110045,"Terrier, Cairn",Mix,Dog,98133
2018-03-03,Honey,110046,"Terrier, Cairn",Mix,Dog,98133
2018-03-03,Pandy,140383,Havanese,,Dog,98144
2018-03-03,Kona,80096,"Retriever, Golden",,Dog,98199
2018-03-03,Evie,101056,Pug,Mix,Dog,98106
2018-03-03,Penny,110708,Shetland Sheepdog,,Dog,98199
2018-03-03,Nevaeh,140795,German Shepherd,Mix,Dog,98136
2018-03-02,Lilly,140902,Domestic Shorthair,Mix,Cat,98117
2018-03-02,Sweetie-Pie,140687,Domestic Shorthair,Mix,Cat,98115
2018-03-02,Draven,111554,Domestic Medium Hair,,Cat,98116
2018-03-02,Jarvan IV,111555,Domestic Shorthair,,Cat,98116
2018-03-02,,20082,Persian,Mix,Cat,98178
2018-03-02,Kiria,108287,Domestic Shorthair,Mix,Cat,98177
2018-03-02,,110724,Domestic Shorthair,Mix,Cat,98125
2018-03-02,Nerf,77187,Domestic Medium Hair,,Cat,98115
2018-03-02,Newt,77188,Domestic Medium Hair,,Cat,98115
2018-03-02,Minnie,83192,Domestic Medium Hair,,Cat,98118
2018-03-02,Lucky,114627,Domestic Shorthair,,Cat,98125
2018-03-02,Shane,77277,Domestic Shorthair,,Cat,98115
2018-03-02,Ollie,902820,"Schnauzer, Miniature","Poodle, Miniature",Dog,98103
2018-03-02,Poncho,442774,Maltese,,Dog,98106
2018-03-02,Clyde,140688,"Terrier, Pit Bull",Mix,Dog,98125
2018-03-02,Cooper,141285,"Retriever, Labrador",,Dog,98112
2018-03-02,Leo,141287,"Poodle, Miniature","Retriever, Golden",Dog,98112
2018-03-02,Duke,141251,Boxer,,Dog,98125
2018-03-02,Scooter,141266,"Terrier, Jack Russell",Shih Tzu,Dog,98109
2018-03-02,Walter,111369,"Retriever, Golden","Poodle, Miniature",Dog,98106
2018-03-02,Oliver,102441,"Welsh Corgi, Cardigan",,Dog,98103
2018-03-02,Walter,141304,Pomeranian,Spaniel,Dog,98107
2018-03-02,Kade,141249,Siberian Husky,,Dog,98199
2018-03-02,Ivan,27878,Australian Shepherd,Mix,Dog,98115
2018-03-02,Jack,904112,Xoloitzcuintli,,Dog,98126
2018-03-02,Badger,84256,Australian Cattle Dog,"Pointer, German Shorthaired",Dog,98109
2018-03-02,Leo,141240,"Bulldog, French",,Dog,98109
2018-03-02,Oliver,141279,"Poodle, Miniature",,Dog,98106
2018-03-02,Thor,112070,Norwegian Elkhound,,Dog,98133
2018-03-02,Farley,141280,Tibetan Mastiff,Australian Shepherd,Dog,98105
2018-03-02,Lucy,104701,Pomeranian,,Dog,98102
2018-03-02,Izzy,141286,"Retriever, Golden","Poodle, Standard",Dog,98112
2018-03-02,Patches,81081,Brittany,,Dog,98121
2018-03-02,Lucy,75865,"Retriever, Golden",,Dog,98115
2018-03-02,Millie,101137,Terrier,Mix,Dog,98144
2018-03-02,Ellie,141288,Australian Shepherd,,Dog,98107
2018-03-02,Ally Sheedy,141229,"Retriever, Labrador",Hound,Dog,98107
2018-03-02,Tallulah,141298,Mix,,Dog,98103
2018-03-02,Millie,141202,Havanese,,Dog,98109
2018-03-02,Delta,141224,Siberian Husky,,Dog,98133
2018-03-02,Nova,141225,Doberman Pinscher,"Terrier, American Pit Bull",Dog,98133
2018-03-02,Phoebe,122688,"Retriever, Labrador",Pointer,Dog,98144
2018-03-02,Nino,141236,"Schnauzer, Miniature",,Dog,98109
2018-03-02,Arya,141207,Boxer,Mix,Dog,98101
2018-03-02,Coconut,127767,"Terrier, Yorkshire","Poodle, Miniature",Dog,98115
2018-03-02,Ruby,84432,"Bulldog, French",,Dog,98144
2018-03-01,Lovelina,140685,Domestic Shorthair,Mix,Cat,98121
2018-03-01,Tigger,124744,Mix,American Shorthair,Cat,98102
2018-03-01,Cookie,141129,Mix,,Cat,98106
2018-03-01,Truffles,141130,Mix,,Cat,98106
2018-03-01,Monty,126115,American Shorthair,,Cat,98107
2018-03-01,Gustaf,141152,Domestic Shorthair,,Cat,98115
2018-03-01,Gilly,141113,Siamese,,Cat,98146
2018-03-01,Esther,73766,Bengal,,Cat,98107
2018-03-01,,110747,Domestic Shorthair,Mix,Cat,98115
2018-03-01,,110746,Domestic Shorthair,Mix,Cat,98115
2018-03-01,Murphy,111474,Domestic Medium Hair,,Cat,98112
2018-03-01,Sailor,111571,Siamese,,Cat,98105
2018-03-01,Lucille,104394,Domestic Medium Hair,Mix,Cat,98121
2018-03-01,Libby,64065,Domestic Medium Hair,,Cat,98115
2018-03-01,Maddie,22535,Domestic Longhair,,Cat,98115
2018-03-01,Bert,72431,Domestic Shorthair,,Cat,98136
2018-03-01,Simon,110543,"Poodle, Miniature",,Dog,98125
2018-03-01,Tripp,140686,"Poodle, Standard",Mix,Dog,98115
2018-03-01,Cody,110651,Shetland Sheepdog,,Dog,98115
2018-03-01,Crash,83711,Shih Tzu,,Dog,98133
2018-03-01,Nuke,83703,Shih Tzu,,Dog,98133
2018-03-01,Gizmo,81606,"Schnauzer, Miniature","Poodle, Miniature",Dog,98118
2018-03-01,Dexter,141158,Border Collie,,Dog,98109
2018-03-01,Biscut,80888,"Retriever, Labrador",Mix,Dog,98106
2018-03-01,Yo Yo Hsu,82642,"Poodle, Miniature",,Dog,98105
2018-03-01,Sollie,111891,Doberman Pinscher,,Dog,98118
2018-03-01,Dutch,83791,"Terrier, American Pit Bull",,Dog,98122
2018-03-01,Kodiak,141160,Alaskan Malamute,,Dog,98117
2018-03-01,Gozer,82283,Havanese,,Dog,98102
2018-03-01,Rufus,141145,"Retriever, Golden",,Dog,98125
2018-03-01,Lucky,354884,Australian Shepherd,Border Collie,Dog,98118
2018-03-01,Bubu,141112,"Chihuahua, Short Coat",Pug,Dog,98146
2018-03-01,Prince,113432,"Welsh Corgi, Cardigan",Mix,Dog,98117
2018-03-01,Cooper,141127,Australian Cattle Dog,"Terrier, Pit Bull",Dog,98119
2018-03-01,Rodger Sommers,141143,Australian Cattle Dog,,Dog,98103
2018-03-01,Rommy Hauschka,112019,Old English Sheepdog,,Dog,98118
2018-03-01,Maxwell,141161,"Terrier, Irish",,Dog,98117
2018-03-01,Taro,141124,"Retriever, Labrador",Mix,Dog,98109
2018-03-01,Doobie,113616,Siberian Husky,,Dog,98118
2018-03-01,Juni,107513,"Terrier, Jack Russell",,Dog,98117
2018-03-01,Lou,79125,Rottweiler,,Dog,98117
2018-03-01,Bigby,141116,Siberian Husky,,Dog,98168
